,Name,Price,Offer
0," Oppo K12x 5G 128 GB, 6 GB RAM, Breeze Blue, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹12,999.00</span>","<span class=""jm-badge""> 23% OFF </span>"
1," Realme Narzo N65 5G 128 GB, 4 GB RAM, Amber Gold, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹9,799.00</span>","<span class=""jm-badge""> 30% OFF </span>"
2," Apple iPhone 13 128 GB, Midnight (Black) ","<span class=""jm-heading-xxs jm-mb-xxs"">₹42,990.00</span>","<span class=""jm-badge""> 13% OFF </span>"
3," POCO C61, 4GB RAM, 64GB ROM, Mystical Green, Smartphone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹6,295.00</span>","<span class=""jm-badge""> 30% OFF </span>"
4," POCO C61, 4GB RAM, 64GB ROM, Ethereal Blue, Smartphone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹6,099.00</span>","<span class=""jm-badge""> 32% OFF </span>"
5," Oppo K12x 5G 128 GB, 6 GB RAM, Midnight Violet, Mobile Phone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹12,999.00</span>","<span class=""jm-badge""> 23% OFF </span>"
6," CNS Multipurpose Adjustable Trolley for Washing Machine and Refrigerator, Black ","<span class=""jm-heading-xxs jm-mb-xxs"">₹999.00</span>","<span class=""jm-badge""> 26% OFF </span>"
7," Apple iPhone 13 128 GB, Starlight ","<span class=""jm-heading-xxs jm-mb-xxs"">₹42,990.00</span>","<span class=""jm-badge""> 13% OFF </span>"
8, Spigen Liquid Air Back Cover Case for Samsung Galaxy S23 Ultra (TPU | Abyss Green) ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹1,199.00</span>","<span class=""jm-badge""> 29% OFF </span>"
9," ProElite Cover for Lenovo Tab Plus 11.5 inch Case cover, Smart PU Leather Flip Case cover for Lenovo Tab Plus 11.5 inch, Black ","<span class=""jm-heading-xxs jm-mb-xxs"">₹579.00</span>","<span class=""jm-badge""> 71% OFF </span>"
10," POCO C61, 4GB RAM, 64GB ROM, Diamond Dust Black, Smartphone ","<span class=""jm-heading-xxs jm-mb-xxs"">₹6,099.00</span>","<span class=""jm-badge""> 32% OFF </span>"
11, ClickCase Vintage Series For Coolpad Cool 1 Coffee Brown Faux Leather Mobile Wallet Flip Cover ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹245.00</span>","<span class=""jm-badge""> 75% OFF </span>"
